authorDisplayName,textDisplay,likeCount,publishedAt
@현-j1n,다음 컴백때 이렇게 보컬 휘몰아치는 곡 가져와줬음 좋겠다 충분히 할 수 았단걸 증명해냈으니까🥹🥹,9,2026-05-25 14:29:55 UTC
@milkyway626,제로베이스원❤ 자랑스러워 😊,16,2026-05-21 01:43:05 UTC
@fhjxxiur7._.5,제베원 얼굴 실력 모든거 빠지지 않으니까 많관부!!,6,2026-06-18 13:57:58 UTC
@rosenee,너무 멋진 제로베이스원 사랑해💖😍🌹,16,2026-05-21 01:10:34 UTC
@zero.verivery,이건 평생 박제해야 함.,10,2026-05-22 13:18:55 UTC
@이세린-v4w,우리 애기들 눈빛이 고용불안정 시기의 독기로 돌아갓어요 ㅠ ㅠ 엉엉슨 ㅠ ㅠ,9,2026-05-26 09:15:55 UTC
@Jewlzwinter,I've seen a lot of covers of Sherlock over the years since the song came out but I definitely think that this is by far my favorite one! With their amazing stage presence and energy while singing this live this was an AMAZING performance!,23,2026-05-22 11:55:30 UTC
@sqrlvr,I’M SO OBSESSED WITH THIS COVER,7,2026-06-17 09:26:43 UTC
@kyung5z,i cannot even put into words how this cover changed my life. omfg sherlock and zb1 LIKE WTOP,10,2026-05-22 11:50:58 UTC
@XanaAgriche,Jiwoong vocal meal. 😋,50,2026-05-21 02:19:57 UTC
@JunggieChien,"WHAT A PERFORMANCE, ZB1!!!",10,2026-05-21 12:58:03 UTC
@aoidoraneko,VOCALBASEONE! LIVEBASEONE!,9,2026-05-31 18:19:56 UTC
@GaryJion,"this is crazy, everything's so perfect, their vocals, dance, presence, styling, song choice, visuals, everyone stood out, I'm in shock, wow, they're amazing",10,2026-05-21 17:18:08 UTC
@yo-zx2xb,최고의 커버무대👏 춤 라이브 다되는 제베원🫶🏻,11,2026-05-24 11:54:06 UTC
@JK-lj3vp,셜록은 유명할 정도로 춤 노래 다 고난이도의 무대인데 너무 멋있게 잘 해냈어 제베원 멋있다,8,2026-05-25 11:22:34 UTC
@Dwsjmal-h9g,ㅇㄴ 김지웅 이런 노래랑 너무 잘 어울리는데 노래 좀 더 시켜보셈,10,2026-05-25 09:54:11 UTC
@05gnk84,何度見てもすごい迫力,5,2026-07-18 12:10:41 UTC
@gwlalaa,My vocalbaseone 😭😭,7,2026-06-04 12:29:59 UTC
